title,url,comment,Str Location,latitude,longitude,color
Accelerated Analytical Lab,http://acceleratedlabs.com/about-accelerated-analytical-laboratories/contact/,We specialize in Drinking Water Food Flavoring Cosmetic and Pharmaceutical testing ,Milwaukee,43.17391706,-88.02405017,blue
Ad-Tech Medical Instrument,https://adtechmedical.com,Innovative electrodes for the surgical treatment of intractable epilepsy ,Oak Creek,42.84944732,-87.91990636,blue
Aerotek,https://aerotek.com,Clinical jobs,Madison,43.14184432,-89.29282146,red
Agulos Biotech,http://agulosbiotech.com/,Replacement for Fetal Bovine Serum,Lake Mills,43.07024363,-88.89209509,blue
Alator Biosciences,https://adtechmedical.com,Cytokines enzymes molecular biology stuff,Oak Creek,42.85000581,-87.9201102,blue
Aldevron,http://www.aldevron.com,High-quality plasmid DNA proteins enzymes antibodies and other biologicals,Madison,43.05670471,-89.47700949,red
Arrowhead Pharmaceuticals,https://arrowheadpharma.com/,RNAi,Madison,43.0579717,-89.48002327,red
Atterx BioTherapeutics,http://atterx.com/,Atterx is developing novel products that prevent and treat antibiotic resistant bacterial infections,Madison,43.05770412,-89.47783497,red
Attwill Medical Solutions,http://www.attwillmedical.com/,Vascular Access Technologies,Lodi,43.32368017,-89.54276279,blue
BellBrook Labs,https://www.bellbrooklabs.com/,High-Throughput Screening Assays,Madison,42.996829,-89.42202339,red
Bio-Technical Resources,https://biotechresources.com,Biotech Assays Development,Manitowak,44.08787937,-87.65616326,blue
BioForward,https://www.gregordiagnostics.com/,Prostate Cancer Diagnosis,Madison,43.08056458,-89.38474681,red
BioTechnique,https://biotechnique.com/,Contract Pharmaceutical Manufacturing,Madison,43.05430019,-89.46791685,red
BrainXell,https://brainxell.com/?gclid=EAIaIQobChMImOyhleSP7gIVj_DACh1vggZLEAAYASAAEgKubPD_BwE,Neuronal Research products & services,455 Science Dr #210 Madison WI 53711,43.05844,-89.46725,red
Capio Biosciences,https://www.capiobiosciences.com/,Cancer Diagnostic Technology,Madison,43.05763357,-89.47787789,red
Cardiac Science,https://www.cardiacscience.com,Automated Defibrillator,Deer Field,43.05685518,-89.06438241,blue
Catalent,https://www.catalent.com,Biologics Manufacturing & Cell Line Development,726 Heartland Trail,43.07680654,-89.53573534,orange
Cell Line Genetics,https://clgenetics.com/,Pharmaceutical Services,Manitowak,43.0576524,-89.47675703,blue
Cellectar Biosciences,https://www.cellectar.com,Small Molecules,Middleton,43.08948886,-89.52630494,blue
Cellular Dynamics,https://www.fujifilmcdi.com/,Induced Pluripotent Stem Cells,Madison,43.05656968,-89.46680809,red
Cellular Logistics,https://cellogistics.com/,Acellular biomaterial for delivery of cell therapy to heart,Madison,43.07653706,-89.43129709,red
Center For Dairy Research,https://www.cdr.wisc.edu,Dairy Research,Madison,43.0754726,-89.41827906,red
Centrose,https://static1.squarespace.com/static/55bbd84fe4b002b451be7912/t/55bf110de4b0d22ddd05cca9/1438585101659/090859_WSJ-CENTROSEUPDATE2014.pdf,Sugar Drugs,Madison,43.07926346,-89.53340662,red
Chimerx,http://www.chimerx.com,Molecular Biology Stuff,Madison,43.12908641,-87.98669744,blue
Cmxtwenty,https://cmxtwenty.com,Small molecule for pain,Wawautosa,43.04445182,-88.04498303,blue
Co-D Therapeutics,https://co-drx.com/,Nanomedicines,Madison,43.08147926,-89.37424889,red
Coating Place,https://www.coatingplace.com,Drug Delivery Services,Verona,42.97976681,-89.54318383,blue
Covance,https://www.ppd.com,Drug Development Services,3301 Kinsman Blvd,43.13216948,-89.33251913,red
Dianomi Therapeutics,https://dianomitx.com,Mineral Coated Microparticle technology,Madison,43.0767252,-89.4125036,blue
Diversatek,http://www.diversatek.com,GI Surgical Devices,Milwaukee,43.08324303,-87.910394,blue
DNASTAR,https://www.dnastar.com,Molecular Biology Software,Madison,43.06774963,-89.4393653,red
Essential Biotechnology,http://essentialbiotech.com/,Biologic for pancreatic cancer,Madison,43.06773395,-89.43935457,red
Eurofins,https://www.eurofins.com,Eurofins is an international group of laboratories headquartered in Luxembourg providing testing and support services to the pharmaceutical food environmental agriscience and consumer products industries and to governments.,Madison,43.15151294,-89.33556508,red
Exact Sciences,https://www.ppd.com,Colorectal Cancer Screening,Madison,33.841027,-118.182765,red
FluGen,http://flugen.com/,Vaccines & Adjuvants,Madison,43.05452382,-89.46731517,blue
